Date,Vehicle_Type,Brand,Region,Fuel_Type,Price,Units_Sold,Customer_Rating,Age_Group
2023-01-01 00:00:00.000000000,Truck,Tata,North,Petrol,1771300,229,3.6,36-45
2023-01-02 19:52:23.238731218,Electric,Honda,Central,Diesel,1544327,400,4.8,46-55
2023-01-04 15:44:46.477462437,Hatchback,Mahindra,East,Electric,693783,172,2.9,18-25
2023-01-06 11:37:09.716193656,Electric,Honda,South,Electric,2615904,448,3.5,56+
2023-01-08 07:29:32.954924874,Electric,Tata,South,Petrol,1515416,229,4.3,56+
2023-01-10 03:21:56.193656093,Sedan,Tata,East,Electric,3334717,279,4.7,26-35
2023-01-11 23:14:19.432387312,Hatchback,Honda,South,Hybrid,2433460,129,4.2,26-35
2023-01-13 19:06:42.671118530,Hatchback,Toyota,West,Petrol,1168755,403,3.1,56+
2023-01-15 14:59:05.909849749,Hatchback,Hyundai,North,Diesel,2814181,345,4.2,18-25
2023-01-17 10:51:29.148580968,Electric,Toyota,West,Petrol,1407669,409,3.2,36-45
2023-01-19 06:43:52.387312187,Truck,Toyota,South,Electric,1604849,191,4.3,36-45
2023-01-21 02:36:15.626043405,Hatchback,Maruti,Central,Diesel,3904231,488,4.9,18-25
2023-01-22 22:28:38.864774624,Electric,Toyota,North,Petrol,2164742,115,4.3,36-45
2023-01-24 18:21:02.103505843,Sedan,Mahindra,North,Hybrid,2339903,226,4.7,46-55
2023-01-26 14:13:25.342237061,Truck,Maruti,East,Hybrid,3765696,214,2.5,56+
2023-01-28 10:05:48.580968280,Sedan,Maruti,East,Petrol,877844,79,4.3,56+
2023-01-30 05:58:11.819699499,Truck,Tata,Central,Hybrid,510699,53,4.6,18-25
2023-02-01 01:50:35.058430717,Electric,Toyota,North,Hybrid,3841861,338,2.6,36-45
2023-02-02 21:42:58.297161936,SUV,Tata,Central,Hybrid,1034003,310,4.7,26-35
2023-02-04 17:35:21.535893155,Truck,Honda,East,Diesel,3664897,237,3.1,26-35
2023-02-06 13:27:44.774624374,Sedan,Hyundai,East,Hybrid,3115804,193,4.2,36-45
2023-02-08 09:20:08.013355592,Electric,Maruti,North,Hybrid,618413,116,4.5,26-35
2023-02-10 05:12:31.252086811,Truck,Honda,West,Hybrid,2482243,93,4.2,18-25
2023-02-12 01:04:54.490818030,SUV,Honda,South,Diesel,2192128,347,2.7,18-25
2023-02-13 20:57:17.729549248,SUV,Mahindra,East,Petrol,3913654,259,4.0,36-45
